DateSpecimen,Cases,Recovered,Deaths
2020-05-25,338,319,16
2020-05-26,436,419,13
2020-05-27,528,505,23
2020-05-28,408,389,17
2020-05-29,335,315,19
2020-05-30,200,189,11
2020-05-31,202,187,13
2020-06-01,388,369,18
2020-06-02,363,351,11
2020-06-03,450,421,26
2020-06-04,654,637,15
2020-06-05,715,686,26
2020-06-06,260,245,13
2020-06-07,227,202,22
2020-06-08,852,816,33
2020-06-09,840,801,34
2020-06-10,1205,1163,40
2020-06-11,1204,1173,27
2020-06-12,524,495,28
2020-06-13,277,248,26
2020-06-14,321,287,30
2020-06-15,715,682,32
2020-06-16,670,632,38
2020-06-17,894,841,46
2020-06-18,770,740,25
2020-06-19,667,632,35
2020-06-20,649,606,38
2020-06-21,434,401,29
2020-06-22,925,890,32
2020-06-23,954,916,35
2020-06-24,1086,1040,41
2020-06-25,1452,1382,63
2020-06-26,1177,1143,29
2020-06-27,720,679,40
2020-06-28,616,566,45
2020-06-29,1978,1913,63
2020-06-30,1894,1848,40
2020-07-01,1957,1908,42
2020-07-02,1760,1701,51
2020-07-03,1786,1733,44
2020-07-04,1312,1259,46
2020-07-05,846,798,40
2020-07-06,2130,2060,59
2020-07-07,2131,2071,53
2020-07-08,1937,1877,49
2020-07-09,2866,2792,57
2020-07-10,2799,2734,55
2020-07-11,1891,1836,48
2020-07-12,1616,1561,48
2020-07-13,2125,2045,67
2020-07-14,2093,2020,60
2020-07-15,2499,2403,77
2020-07-16,2766,2675,68
2020-07-17,3028,2964,51
2020-07-18,1738,1672,53
2020-07-19,971,901,60
2020-07-20,3182,3104,66
2020-07-21,3237,3154,69
2020-07-22,3321,3234,72
2020-07-23,3548,3490,52
2020-07-24,3395,3317,58
2020-07-25,2085,2029,51
2020-07-26,1120,1067,42
2020-07-27,3964,3877,71
2020-07-28,3373,3305,63
2020-07-29,2967,2902,48
2020-07-30,3262,3186,60
2020-07-31,2137,2086,40
2020-08-01,1628,1584,38
2020-08-02,1003,938,52
2020-08-03,3237,3157,65
2020-08-04,3243,3151,79
2020-08-05,2892,2810,73
2020-08-06,3247,3175,62
2020-08-07,3227,3151,68
2020-08-08,1867,1810,52
2020-08-09,1668,1597,59
2020-08-10,4084,3982,87
2020-08-11,3878,3783,83
2020-08-12,3563,3476,77
2020-08-13,2852,2770,73
2020-08-14,3094,3016,68
2020-08-15,1468,1400,62
2020-08-16,1000,945,50
2020-08-17,3372,3277,84
2020-08-18,2911,2839,58
2020-08-19,3018,2948,60
2020-08-20,2953,2884,60
2020-08-21,2265,2209,48
2020-08-22,1485,1427,52
2020-08-23,1073,1007,60
2020-08-24,3417,3345,66
2020-08-25,2956,2878,70
2020-08-26,2786,2711,65
2020-08-27,3029,2970,52
2020-08-28,2635,2571,61
2020-08-29,1705,1640,60
2020-08-30,983,939,38
2020-08-31,1777,1709,62
2020-09-01,2907,2838,61
2020-09-02,2976,2914,56
2020-09-03,3008,2934,68
2020-09-04,2822,2762,55
2020-09-05,1418,1366,49
2020-09-06,963,921,38
2020-09-07,2344,2282,57
2020-09-08,2559,2500,52
2020-09-09,2721,2648,69
2020-09-10,2382,2331,49
2020-09-11,2204,2153,48
2020-09-12,1567,1518,43
2020-09-13,970,920,42
2020-09-14,2211,2146,56
2020-09-15,2058,1992,62
2020-09-16,2209,2157,52
2020-09-17,2259,2203,51
2020-09-18,2112,2058,46
2020-09-19,1090,1045,45
2020-09-20,793,761,28
2020-09-21,2371,2284,76
2020-09-22,2211,2155,50
2020-09-23,2098,2044,49
2020-09-24,2071,2020,45
2020-09-25,2234,2176,48
2020-09-26,1085,1051,30
2020-09-27,838,792,40
2020-09-28,2161,2097,52
2020-09-29,2204,2164,30
2020-09-30,2112,2056,49
2020-10-01,2153,2091,52
2020-10-02,1660,1606,43
2020-10-03,1292,1244,36
2020-10-04,800,772,20
2020-10-05,2150,2087,51
2020-10-06,2051,2000,44
2020-10-07,1975,1911,50
2020-10-08,1756,1710,38
2020-10-09,1701,1663,30
2020-10-10,1118,1076,36
2020-10-11,994,945,41
2020-10-12,2198,2148,43
2020-10-13,1842,1792,44
2020-10-14,1536,1499,33
2020-10-15,1624,1587,27
2020-10-16,1554,1503,36
2020-10-17,888,844,42
2020-10-18,603,572,24
2020-10-19,1870,1818,46
2020-10-20,1739,1711,24
2020-10-21,1539,1493,42
2020-10-22,1571,1530,28
2020-10-23,1574,1509,50
2020-10-24,902,856,32
2020-10-25,588,561,24
2020-10-26,1542,1490,42
2020-10-27,1526,1484,29
2020-10-28,1667,1612,42
2020-10-29,1662,1620,38
2020-10-30,1723,1677,36
2020-10-31,790,754,27
2020-11-01,371,348,22
2020-11-02,1071,1020,46
2020-11-03,2137,2087,40
2020-11-04,1505,1456,44
2020-11-05,1695,1647,38
2020-11-06,1643,1607,29
2020-11-07,820,793,25
2020-11-08,625,585,28
2020-11-09,1746,1716,25
2020-11-10,1508,1481,24
2020-11-11,1359,1326,27
2020-11-12,1074,1045,27
2020-11-13,1155,1113,36
2020-11-14,892,860,26
2020-11-15,607,573,29
2020-11-16,1668,1623,39
2020-11-17,1293,1259,27
2020-11-18,1267,1240,22
2020-11-19,1269,1239,23
2020-11-20,1233,1200,29
2020-11-21,713,685,21
2020-11-22,534,510,20
2020-11-23,1517,1484,27
2020-11-24,1456,1434,20
2020-11-25,1392,1366,25
2020-11-26,1402,1382,17
2020-11-27,1311,1288,19
2020-11-28,741,722,16
2020-11-29,497,471,19
2020-11-30,801,760,31
2020-12-01,1472,1428,40
2020-12-02,1367,1332,28
2020-12-03,1428,1397,26
2020-12-04,1447,1415,21
2020-12-05,741,713,22
2020-12-06,445,428,13
2020-12-07,1620,1587,25
2020-12-08,813,782,22
2020-12-09,1321,1290,21
2020-12-10,1206,1177,19
2020-12-11,1147,1128,10
2020-12-12,769,739,21
2020-12-13,411,390,19
2020-12-14,1513,1474,31
2020-12-15,1393,1361,24
2020-12-16,1395,1367,24
2020-12-17,1312,1287,15
2020-12-18,1202,1165,26
2020-12-19,781,755,25
2020-12-20,573,550,23
2020-12-21,1855,1825,28
2020-12-22,1251,1233,13
2020-12-23,960,933,27
2020-12-24,458,433,22
2020-12-25,297,276,19
2020-12-26,818,785,27
2020-12-27,585,554,28
2020-12-28,1791,1760,27
2020-12-29,1341,1312,25
2020-12-30,777,751,26
2020-12-31,512,482,22
2021-01-01,409,374,25
2021-01-02,1137,1093,38
2021-01-03,643,604,34
2021-01-04,1777,1738,28
2021-01-05,1465,1444,19
2021-01-06,1530,1489,37
2021-01-07,1628,1587,29
2021-01-08,1614,1571,38
2021-01-09,849,813,27
2021-01-10,598,573,21
2021-01-11,1859,1819,32
2021-01-12,1595,1557,31
2021-01-13,1508,1483,20
2021-01-14,1524,1489,27
2021-01-15,1671,1646,19
2021-01-16,815,788,22
2021-01-17,558,528,26
2021-01-18,2039,1997,39
2021-01-19,1640,1612,24
2021-01-20,1505,1482,21
2021-01-21,1498,1454,33
2021-01-22,1452,1418,26
2021-01-23,848,812,30
2021-01-24,655,623,26
2021-01-25,1877,1834,30
2021-01-26,1832,1803,23
2021-01-27,1656,1621,28
2021-01-28,1589,1569,17
2021-01-29,1584,1552,19
2021-01-30,914,886,16
2021-01-31,561,527,12
2021-02-01,1835,1755,21
2021-02-02,1571,1534,21
2021-02-03,1645,1607,21
2021-02-04,1620,170,17
2021-02-05,1634,91,11
2021-02-06,1036,24,10
2021-02-07,695,9,8
2021-02-08,2147,71,3
2021-02-09,1668,3,5
2021-02-10,1961,5,2
2021-02-11,1986,3,2
2021-02-12,1327,3,3
2021-02-13,1079,0,4
2021-02-14,773,1,3
2021-02-15,2373,4,1
2021-02-16,1880,1,1
2021-02-17,1762,3,0
2021-02-18,1213,1,0
2021-02-19,313,0,0
